,player,average,median,min,max,total_wins,games_played
0,Eddie,41.36,46.0,11.0,65.0,959,39
1,Gogo,27.33,27.5,22.0,31.0,91,6
2,MrPink,42.98,44.0,12.0,83.0,1017,40
3,MrWhite,30.71,25.0,7.0,83.0,687,41
4,MrBlue,51.05,52.0,8.0,94.0,1742,61
5,Joe,37.7,37.5,26.0,46.0,225,10
6,ORen,22.3,26.0,4.0,41.0,127,10
7,MrBlonde,43.13,45.0,6.0,76.0,389,15
8,Hattori,36.27,37.0,7.0,54.0,220,11
9,MrOrange,32.13,32.0,5.0,75.0,1013,54
10,MrBrown,27.71,32.0,9.0,43.0,228,14
11,Pluribus,42.36,45.0,2.0,86.0,1678,67
12,Bill,41.87,42.0,9.0,75.0,1177,47
13,Budd,29.43,30.0,7.0,54.0,413,23
