,player,game,total_hands,total_hands_won
0,Eddie,30,27,16
1,Eddie,106,0,0
2,Eddie,109,0,0
3,Eddie,108,0,0
4,Eddie,42,31,20
5,Eddie,40,44,22
6,Eddie,41,30,19
7,Eddie,43,32,24
8,Eddie,114,58,33
9,Eddie,112,54,33
10,Eddie,111,57,35
11,Eddie,53,52,25
12,Eddie,52,65,35
13,Eddie,110,0,0
14,Eddie,99,58,29
15,Eddie,50,56,34
16,Eddie,76,0,0
17,Eddie,100,0,0
18,Eddie,51,48,31
19,Eddie,103,0,0
20,Eddie,44,16,10
21,Eddie,75,0,0
22,Eddie,77,0,0
23,Eddie,113,54,30
24,Eddie,88,47,25
25,Eddie,64,50,28
26,Eddie,94,57,29
27,Eddie,98,51,29
28,Eddie,63,56,35
29,Eddie,96,53,39
30,Eddie,95,47,30
31,Eddie,60,53,38
32,Eddie,61,39,28
33,Eddie,45,15,9
34,Eddie,118,0,0
35,Eddie,97,49,30
36,Eddie,62,41,24
37,Eddie,78,0,0
38,Eddie,70,40,22
39,Eddie,73,30,23
40,Eddie,65,46,27
41,Eddie,117,0,0
42,Eddie,115,0,0
43,Eddie,89,46,30
44,Eddie,116,0,0
45,Eddie,71,36,24
46,Eddie,85,0,0
47,Eddie,86,0,0
48,Eddie,72,36,24
49,Eddie,83,0,0
50,Eddie,102,0,0
51,Eddie,104,0,0
52,Eddie,84,0,0
53,Eddie,101,0,0
54,Eddie,32,28,16
55,Eddie,33,27,13
56,Eddie,34,29,13
57,Eddie,91,0,0
58,Eddie,90,0,0
59,Eddie,93,0,0
60,Eddie,31,17,14
61,Eddie,35,27,10
62,Eddie,92,0,0
63,Eddie,107,0,0
64,Eddie,105,0,0
65,Eddie,87,11,3
66,Eddie,74,0,0
67,Gogo,30,22,12
68,Gogo,106,0,0
69,Gogo,109,0,0
70,Gogo,108,0,0
71,Gogo,42,0,0
72,Gogo,40,0,0
73,Gogo,41,0,0
74,Gogo,43,0,0
75,Gogo,114,0,0
76,Gogo,112,0,0
77,Gogo,111,0,0
78,Gogo,53,0,0
79,Gogo,52,0,0
80,Gogo,110,0,0
81,Gogo,99,0,0
82,Gogo,50,0,0
83,Gogo,76,0,0
84,Gogo,100,0,0
85,Gogo,51,0,0
86,Gogo,103,0,0
87,Gogo,44,0,0
88,Gogo,75,0,0
89,Gogo,77,0,0
90,Gogo,113,0,0
91,Gogo,88,0,0
92,Gogo,64,0,0
93,Gogo,94,0,0
94,Gogo,98,0,0
95,Gogo,63,0,0
96,Gogo,96,0,0
97,Gogo,95,0,0
98,Gogo,60,0,0
99,Gogo,61,0,0
